name,available,base_power,constant_active_power,constant_reactive_power,impedance_active_power,impedance_reactive_power,current_active_power,current_reactive_power,max_constant_active_power,max_constant_reactive_power,max_impedance_active_power,max_impedance_reactive_power,max_current_active_power,max_current_reactive_power
load_78103~PR,true,100.0,15.0,6.4,0.0,0.0,0.0,0.0,15.0,6.4,0.0,0.0,0.0,0.0
load_78109~PR,true,100.0,43.2,18.4,0.0,0.0,0.0,0.0,43.2,18.4,0.0,0.0,0.0,0.0
load_78111~PR,true,100.0,27.500000000000004,11.7,0.0,0.0,0.0,0.0,27.500000000000004,11.7,0.0,0.0,0.0,0.0
load_78114~PR,true,100.0,8.0,3.4000000000000004,0.0,0.0,0.0,0.0,8.0,3.4000000000000004,0.0,0.0,0.0,0.0
load_78116~PR,true,100.0,20.9,8.9,0.0,0.0,0.0,0.0,20.9,8.9,0.0,0.0,0.0,0.0
load_78119~PR,true,100.0,49.3,21.0,0.0,0.0,0.0,0.0,49.3,21.0,0.0,0.0,0.0,0.0
load_78121~PR,true,100.0,51.5,21.9,0.0,0.0,0.0,0.0,51.5,21.9,0.0,0.0,0.0,0.0
load_78653~CS,true,100.0,21.57,3.37,0.0,0.0,0.0,0.0,21.57,3.37,0.0,0.0,0.0,0.0
load_78654~CS,true,100.0,25.14,4.68,0.0,0.0,0.0,0.0,25.14,4.68,0.0,0.0,0.0,0.0
load_78656~CS,true,100.0,29.710000000000004,9.65,0.0,0.0,0.0,0.0,29.710000000000004,9.65,0.0,0.0,0.0,0.0
load_78657~CS,true,100.0,24.87,5.73,0.0,0.0,0.0,0.0,24.87,5.73,0.0,0.0,0.0,0.0
load_78658~CS,true,100.0,20.86,5.03,0.0,0.0,0.0,0.0,20.86,5.03,0.0,0.0,0.0,0.0
load_78659~CS,true,100.0,23.27,5.09,0.0,0.0,0.0,0.0,23.27,5.09,0.0,0.0,0.0,0.0
load_78660~CS,true,100.0,20.42,5.18,0.0,0.0,0.0,0.0,20.42,5.18,0.0,0.0,0.0,0.0
load_78662~CS,true,100.0,23.07,4.21,0.0,0.0,0.0,0.0,23.07,4.21,0.0,0.0,0.0,0.0
load_78663~CS,true,100.0,21.55,4.2,0.0,0.0,0.0,0.0,21.55,4.2,0.0,0.0,0.0,0.0
load_78664~CS,true,100.0,11.56,3.54,0.0,0.0,0.0,0.0,11.56,3.54,0.0,0.0,0.0,0.0
